POST /web/riji.php HTTP/1.1
Host: 182.254.133.111
Cache-Control: max-age=0
User-Agent: Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36
Upgrade-Insecure-Requests: 1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Accept-Language: en-US,en;q=0.5
Cookie: PHPSESSID=h55146ik6oi6ok08olmts2qlr1
Connection: close
Content-Type: application/x-www-form-urlencoded
Content-Length: 65480

